Keyword,Expected,Algorithm Accuracy Result,Priority Number,Precision,Recall,Average Precision
meurante,meuranté,0.96,3,1.00,1.00,1.00
meurandeh,meurandéh,0.96,1,1.00,1.00,1.00
meurabe,meurabé,0.95,2,1.00,1.00,1.00
meunurot,meunurôt,0.96,1,1.00,1.00,1.00
meumusoh,meumusôh,0.96,1,1.00,1.00,1.00
meulunco,meuluncô,0.96,1,1.00,1.00,1.00
meulonte,meulônté,0.90,5,1.00,1.00,1.00
meulindong,meulindông,0.97,1,1.00,1.00,1.00
meulambong,meulambông,0.97,1,1.00,1.00,1.00
meulaen,meulaèn,0.95,1,1.00,1.00,1.00
meukleh,meuklèh,0.95,1,1.00,1.00,1.00
peujampoh,peujampôh,0.96,1,1.00,1.00,1.00
peuile,peuilé,0.94,2,1.00,1.00,1.00
peuhubong,peuhubông,0.96,1,1.00,1.00,1.00
peugumbok,peugumbôk,0.96,1,1.00,1.00,1.00
peugleh,peugléh,0.95,1,1.00,1.00,1.00
peuget,peugèt,0.93,2,1.00,1.00,1.00
peugadee,peugadèe,0.96,1,1.00,1.00,1.00
peugabong,peugabông,0.96,1,1.00,1.00,1.00
peueleh,,0.00,0,1.00,1.00,1.00
peuek,peujôk,0.96,3,1.00,1.00,1.00
peudeh,peudéh,0.93,1,1.00,1.00,1.00
peudamee,peudamèe,0.96,1,1.00,1.00,1.00
peucre-bre,peucré-bré,0.93,1,1.00,1.00,1.00
peucoh-coh,peucôh-côh,0.92,1,1.00,1.00,1.00
peucaye,peucayé,0.95,2,1.00,1.00,1.00
peuayon-ayon,peuayôn-ayôn,0.94,1,1.00,1.00,1.00
peuayon,peuayôn,0.95,1,1.00,1.00,1.00
peuaseng,peuaséng,0.96,1,1.00,1.00,1.00
peuase,peuasé,0.94,1,1.00,1.00,1.00
peuangen-angen,peuangèn-angèn,0.95,1,1.00,1.00,1.00
peuanco,peuancô,0.95,1,1.00,1.00,1.00
meunarek,meunarék,0.96,2,1.00,1.00,1.00
peuampon,peuampôn,0.96,2,1.00,1.00,1.00
peualoh,peualôh,0.95,1,1.00,1.00,1.00
peuagong,peuagông,0.96,2,1.00,1.00,1.00
