Keyword,Expected,Algorithm Accuracy Result,Priority Number,Average Precision,Precision,Recall
meurandeh,meuranté,0.67,4,1.00,0.10,0.10
meurabe,meuranté,0.67,8,0.00,0.00,0.00
meunurot,meusulét,0.67,9,0.00,0.00,0.00
meumusoh,geumaséh,0.67,7,0.00,0.00,0.00
meulunco,meulônté,0.70,3,0.00,0.00,0.00
meulonte,meulakèe,0.67,7,0.00,0.00,0.00
meulindong,teupeulindông,0.64,10,1.00,0.10,0.10
meulambong,meuampông,0.70,10,1.00,0.10,0.10
meulaen,meuraông,0.67,9,0.00,0.00,0.00
meukleh,peualôh,0.62,9,0.00,0.00,0.00
peujampoh,peujayéh,0.67,7,1.00,0.10,0.10
peuile,peuniléh,0.67,7,0.00,0.00,0.00
peuhubong,peukeumbông,0.67,9,1.00,0.10,0.10
peugumbok,teunumpôk,0.60,10,1.00,0.10,0.10
peugleh,peutrôh,0.62,10,0.00,0.00,0.00
peuget,leugôt,0.71,6,0.00,0.00,0.00
peugadee,geumadèe,0.67,6,0.00,0.00,0.00
peugabong,peuhubông,0.70,3,1.00,0.10,0.10
peueleh,peuniléh,0.67,10,0.00,0.00,0.00
peuek,peujôk,0.71,9,0.00,0.00,0.00
peudeh,peuèlèh,0.67,8,0.00,0.00,0.00
peudamee,jeulamèe,0.67,6,0.00,0.00,0.00
peucre-bre,seurabèe,0.50,10,0.00,0.00,0.00
peucoh-coh,peucré-bré,0.58,3,0.00,0.00,0.00
peucaye,peuthèe,0.62,10,0.00,0.00,0.00
peuayon-ayon,peuangèn-angèn,0.62,2,0.00,0.00,0.00
peuayon,peujayéh,0.67,10,0.00,0.00,0.00
peuaseng,peulampông,0.64,8,0.00,0.00,0.00
peuase,peurisèe,0.67,8,0.00,0.00,0.00
peuangen-angen,peuayôn-ayôn,0.57,4,0.00,0.00,0.00
peuanco,peuabéh,0.62,10,0.00,0.00,0.00
meunarek,meusaré,0.62,10,0.00,0.00,0.00
peuampon,meugampông,0.64,10,0.00,0.00,0.00
peualoh,peuabéh,0.75,7,0.00,0.00,0.00
peuagong,peunténg,0.67,10,0.00,0.00,0.00
peuabeh,peutrôh,0.62,9,0.00,0.00,0.00
petran,peutrôn,0.75,3,0.00,0.00,0.00
peteunah,peuteuntèe,0.64,10,0.00,0.00,0.00
